car_id,state_of_chrg_bms,state_of_chrg_disp,rapid_chrg_port,normal_chrg_port,state_of_health,btry_min_tempr,btry_max_tempr,min_cell_volt,max_cell_volt,btry_cells_arr,btry_mdul_tempr_arr,mvmn_time
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.10,4.12,4.10,4.12,4.10,4.12,4.10,4.12,4.10,4.12,4.10,4.12,4.10,4.12,4.12,4.12,4.12,4.10,4.10,4.12,4.12,4.12,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12}","{1,1,1,1,2,2,1,2,1,1,1,1}",578.615578
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10}","{1,1,1,1,2,2,1,2,1,1,1,1}",578.615578
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.615856
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.616134
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.12,4.10,4.10,4.10,4.10,4.10,4.10,4.12,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.616134
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.616412
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.61669
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.12,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.12,4.12,4.12,4.12,4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.616968
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.10,4.12,4.12,4.12,4.12,4.10,4.12,4.10,4.12}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.616968
KMHC751HFJU014636,94.5,100,1,0,100,1,2,4.1,4.12,"{4.10,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12}","{1,1,1,1,2,2,1,2,1,1,2,1}",578.617246
