car_id,odometer,soc_real,soc_display,vehicle_speed,charge_status,key_status,xcord,ycord
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.978864,37.830979
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.977552,37.832312
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.979208,37.830571
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.979104,37.8307
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.978992,37.830835
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.97872,37.831131
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.978551,37.831291
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.977304,37.83272
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.977056,37.833379
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.977024,37.833488
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.978936,37.830903
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.977808,37.832008
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976856,37.833924
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976808,37.834032
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976896,37.83382
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976608,37.834372
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976032,37.83498
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.975663,37.835228
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976144,37.834884
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.97644,37.834584
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976352,37.834688
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.975792,37.835152
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.976248,37.834783
KMHC751HFJU014636,11672,94.5,100,0,0,1,126.975911,37.835068
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.976984,37.833599
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.976752,37.834147
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.976688,37.834263
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.976528,37.834479
KMHC751HFJU014636,11672,94,99.5,0,0,1,126.974272,37.835791
